latency,duration,type,marker_value,key,timestamp,marker_id
10.594309,0.000000,2,2,-1,1716507871.017970,1
13.477274,0.000000,1,1,-1,1716507873.900935,2
16.375865,0.000000,2,2,-1,1716507876.799526,3
19.680726,0.000000,4,4,-1,1716507880.104387,4
22.563691,0.000000,1,1,-1,1716507882.987352,5
25.845114,0.000000,2,2,-1,1716507886.268775,6
28.728079,0.000000,1,1,-1,1716507889.151740,7
32.009502,0.000000,3,3,-1,1716507892.433163,8
34.908093,0.000000,6,6,-1,1716507895.331754,9
38.212954,0.000000,3,3,-1,1716507898.636615,10
41.494378,0.000000,6,6,-1,1716507901.918039,11
44.377342,0.000000,6,6,-1,1716507904.801003,12
47.260307,0.000000,1,1,-1,1716507907.683968,13
50.151085,0.000000,5,5,-1,1716507910.574746,14
53.448134,0.000000,4,4,-1,1716507913.871795,15
56.729557,0.000000,1,1,-1,1716507917.153218,16
60.026606,0.000000,2,2,-1,1716507920.450267,17
63.323655,0.000000,1,1,-1,1716507923.747316,18
66.214432,0.000000,1,1,-1,1716507926.638093,19
69.089584,0.000000,6,6,-1,1716507929.513245,20
72.378820,0.000000,2,2,-1,1716507932.802481,21
75.675869,0.000000,4,4,-1,1716507936.099530,22
78.558834,0.000000,6,6,-1,1716507938.982495,23
81.449611,0.000000,4,4,-1,1716507941.873272,24
84.356015,0.000000,1,1,-1,1716507944.779676,25
87.645251,0.000000,4,4,-1,1716507948.068912,26
90.942300,0.000000,8,8,-1,1716507951.365961,27
94.223723,0.000000,1,1,-1,1716507954.647384,28
97.106687,0.000000,5,5,-1,1716507957.530348,29
99.997465,0.000000,2,2,-1,1716507960.421126,30
102.872617,0.000000,4,4,-1,1716507963.296278,31
106.161853,0.000000,4,4,-1,1716507966.585514,32
109.458902,0.000000,3,3,-1,1716507969.882563,33
112.748138,0.000000,2,2,-1,1716507973.171799,34
116.021748,0.000000,1,1,-1,1716507976.445409,35
118.912526,0.000000,2,2,-1,1716507979.336187,36
121.795490,0.000000,4,4,-1,1716507982.219151,37
124.694081,0.000000,3,3,-1,1716507985.117742,38
127.975504,0.000000,5,5,-1,1716507988.399165,39
130.858469,0.000000,5,5,-1,1716507991.282130,40
133.741433,0.000000,2,2,-1,1716507994.165094,41
137.030669,0.000000,2,2,-1,1716507997.454330,42
139.921447,0.000000,3,3,-1,1716508000.345108,43
142.827850,0.000000,4,4,-1,1716508003.251511,44
145.726441,0.000000,2,2,-1,1716508006.150102,45
149.023490,0.000000,2,2,-1,1716508009.447151,46
151.922080,0.000000,5,5,-1,1716508012.345741,47
154.812858,0.000000,4,4,-1,1716508015.236519,48
158.094281,0.000000,2,2,-1,1716508018.517942,49
161.375704,0.000000,3,3,-1,1716508021.799365,50
164.657127,0.000000,1,1,-1,1716508025.080788,51
167.961989,0.000000,6,6,-1,1716508028.385650,52
171.274664,0.000000,7,7,-1,1716508031.698325,53
174.556087,0.000000,8,8,-1,1716508034.979748,54
177.860949,0.000000,2,2,-1,1716508038.284610,55
180.743914,0.000000,1,1,-1,1716508041.167575,56
184.025337,0.000000,3,3,-1,1716508044.448998,57
186.923927,0.000000,1,1,-1,1716508047.347588,58
190.213163,0.000000,7,7,-1,1716508050.636824,59
